Number,Name,SMILES,1,2,3,4,5,6,7,8
33,CHNH,[CH][NH],FALSE,FALSE,2,FALSE,1,FALSE,0,0
34,CH3N,"[CH3][N], [CH3][n]",FALSE,FALSE,2,FALSE,1,FALSE,0,0
35,CH2N,[CH2][N],FALSE,FALSE,2,FALSE,1,FALSE,0,0
36,ACNH2,[c][NH2],FALSE,FALSE,2,FALSE,1,TRUE,0,0
37,C5H5N,n1[cH][cH][cH][cH][cH]1,TRUE,FALSE,6,FALSE,1,TRUE,0,0
38,C5H4N,"n1[c][cH][cH][cH][cH]1, n1[cH][c][cH][cH][cH]1, n1[cH][cH][c][cH][cH]1",FALSE,FALSE,6,TRUE,1,TRUE,0,0
39,C5H3N,"n1[c][c][cH][cH][cH]1, n1[c][cH][c][cH][cH]1, n1[c][cH][cH][c][cH]1, n1[c][cH][cH][cH][c]1, n1[cH][c][c][cH][cH]1, n1[cH][c][cH][c][cH]1",FALSE,FALSE,6,FALSE,1,TRUE,0,0
40,CH3CN,[CH3]C#N,TRUE,FALSE,3,FALSE,1,FALSE,1,0
41,CH2CN,[CH2]C#N,FALSE,FALSE,3,TRUE,1,FALSE,1,0
42,COOH,C(=O)[OH],FALSE,FALSE,3,TRUE,2,FALSE,0,1
43,HCOOH,[CH](=O)[OH],TRUE,FALSE,3,FALSE,2,FALSE,0,1
44,CH2Cl,[CH2]Cl,FALSE,TRUE,2,TRUE,1,FALSE,0,0
45,CHCl,[CH]Cl,FALSE,TRUE,2,FALSE,1,FALSE,0,0
46,CCl,[CH0]Cl,FALSE,TRUE,2,FALSE,1,FALSE,0,0
47,CH2Cl2,[CH2](Cl)Cl,TRUE,FALSE,3,FALSE,2,FALSE,0,0
48,CHCl2,[CH](Cl)Cl,FALSE,TRUE,3,TRUE,2,FALSE,0,0
49,CCl2,C(Cl)Cl,FALSE,TRUE,3,FALSE,2,FALSE,0,0
50,CHCl3,[CH](Cl)(Cl)Cl,TRUE,FALSE,4,FALSE,3,FALSE,0,0
51,CCl3,C(Cl)(Cl)(Cl),FALSE,TRUE,4,TRUE,3,FALSE,0,0
52,CCl4,C(Cl)(Cl)(Cl)(Cl),TRUE,FALSE,5,FALSE,4,FALSE,0,0
53,ACCl,[c]Cl,FALSE,TRUE,2,FALSE,1,TRUE,0,0
54,CH3NO2,[CH3][N+](=O)[O−],FALSE,FALSE,4,TRUE,3,FALSE,0,1
55,CH2NO2,[CH2][N+](=O)[O−],FALSE,FALSE,4,FALSE,3,FALSE,0,1
56,CHNO2,[CH][N+](=O)[O−],FALSE,FALSE,4,FALSE,3,FALSE,0,1
57,ACNO2,[c][N+](=O)[O−],FALSE,FALSE,4,FALSE,3,TRUE,0,1
58,CS2,C(=S)=S,TRUE,FALSE,3,FALSE,2,FALSE,0,2
59,CH3SH,[CH3][SH],TRUE,FALSE,2,FALSE,1,FALSE,0,0
60,CH2SH,[CH2][SH],FALSE,FALSE,2,TRUE,1,FALSE,0,0
61,Furfural,O=[CH]c1[cH][cH][cH]o1,TRUE,FALSE,7,FALSE,2,TRUE,0,1
62,DOH,[OH][CH2][CH2][OH],TRUE,FALSE,4,FALSE,2,FALSE,0,0
63,I,[IH0],FALSE,TRUE,1,TRUE,1,FALSE,0,0
64,Br,[BrH0],FALSE,TRUE,1,TRUE,1,FALSE,0,0
65,CH#C,[CH]#C,FALSE,FALSE,2,TRUE,0,FALSE,1,0
66,C#C,C#C,FALSE,FALSE,2,FALSE,0,FALSE,1,0
67,DMSO,[CH3]S(=O)[CH3],TRUE,FALSE,4,FALSE,2,FALSE,0,1
68,ACRY,[CH2]=[CH1][C]#N,TRUE,FALSE,4,FALSE,1,FALSE,1,1
69,Cl(C=C),[$(Cl[C]=[C])],FALSE,TRUE,3,TRUE,1,FALSE,0,0
70,C=C,[CH0]=[CH0],FALSE,FALSE,2,FALSE,0,FALSE,0,1
71,ACF,[c]F,FALSE,TRUE,2,FALSE,1,TRUE,0,0
72,DMF,[CH](=O)N([CH3])[CH3],TRUE,FALSE,5,FALSE,2,FALSE,0,1
73,HCON(CH2)2,"[CH](=O)N([CH2])[CH2], [CH](=O)N([CH2])[CH3]",FALSE,FALSE,5,FALSE,2,FALSE,0,1
74,CF3,C(F)(F)F,FALSE,TRUE,4,TRUE,3,FALSE,0,0
75,CF2,C(F)F,FALSE,TRUE,3,FALSE,2,FALSE,0,0
76,CF,[C]F,FALSE,TRUE,2,FALSE,1,FALSE,0,0
77,COO,"[CH0](=O)[OH0], [cH0](=O)[oH0]",FALSE,FALSE,3,FALSE,2,FALSE,0,1
78,SiH3,[SiH3],FALSE,FALSE,1,TRUE,1,FALSE,0,0
79,SiH2,[SiH2],FALSE,FALSE,1,FALSE,1,FALSE,0,0
80,SiH,[SiH],FALSE,FALSE,1,FALSE,1,FALSE,0,0
81,Si,[Si],FALSE,FALSE,1,FALSE,1,FALSE,0,0
82,SiH2O,[SiH2][OH0],FALSE,FALSE,2,FALSE,2,FALSE,0,0
83,SiHO,[SiH][OH0],FALSE,FALSE,2,FALSE,2,FALSE,0,0
84,SiO,[Si][OH0],FALSE,FALSE,2,FALSE,2,FALSE,0,0
85,NMP,[CH3]N1[CH2][CH2][CH2]C(=O)1,TRUE,FALSE,7,FALSE,2,FALSE,0,1
86,CCl3F,C(Cl)(Cl)(Cl)F,TRUE,FALSE,5,FALSE,4,FALSE,0,0
87,CCl2F,C(Cl)(Cl)F,FALSE,TRUE,4,TRUE,3,FALSE,0,0
88,HCCl2F,[CH](Cl)(Cl)F,TRUE,FALSE,4,FALSE,3,FALSE,0,0
89,HCClF,[CH](Cl)F,FALSE,TRUE,3,TRUE,2,FALSE,0,0
90,CClF2,C(Cl)(F)F,FALSE,TRUE,4,TRUE,3,FALSE,0,0
91,HCClF2,[CH](Cl)(F)F,TRUE,FALSE,4,FALSE,3,FALSE,0,0
92,CClF3,C(Cl)(F)(F)F,TRUE,FALSE,5,FALSE,4,FALSE,0,0
93,CCl2F2,C(Cl)(Cl)(F)F,TRUE,FALSE,5,FALSE,4,FALSE,0,0
94,CONH2,C(=O)[NH2],FALSE,FALSE,3,TRUE,2,FALSE,0,1
95,CONHCH3,C(=O)[NH][CH3],FALSE,FALSE,4,TRUE,2,FALSE,0,1
96,CONHCH2,C(=O)[NH][CH2],FALSE,FALSE,4,FALSE,2,FALSE,0,1
97,CON(CH3)2,C(=O)N([CH3])[CH3],FALSE,FALSE,5,TRUE,2,FALSE,0,1
98,CONCH3CH2,C(=O)N([CH3])[CH2],FALSE,FALSE,5,FALSE,2,FALSE,0,1
99,CON(CH2)2,C(=O)N([CH2])[CH2],FALSE,FALSE,5,FALSE,2,FALSE,0,1
100,C2H5O2,[OH0;!$(OC=O);!R][CH2;!R][CH2;!R][OH],FALSE,FALSE,4,TRUE,2,FALSE,0,0
101,C2H4O2,"[OH0;!$(OC=O);!R][CH;!R][CH2;!R][OH], [OH0;!$(OC=O);!R][CH2;!R][CH;!R][OH]",FALSE,FALSE,4,FALSE,2,FALSE,0,0
102,CH3S,[CH3]S,FALSE,FALSE,2,TRUE,1,FALSE,0,0
103,CH2S,[CH2]S,FALSE,FALSE,2,FALSE,1,FALSE,0,0
104,CHS,[CH]S,FALSE,FALSE,2,FALSE,1,FALSE,0,0
105,MORPH,[CH2]1[CH2][NH][CH2][CH2]O1,TRUE,FALSE,6,FALSE,2,FALSE,0,0
106,C4H4S,[cH]1[cH][s;X2][cH][cH]1,TRUE,FALSE,5,FALSE,1,TRUE,0,0
107,C4H3S,"[c]1[cH][s;X2][cH][cH]1, [cH]1[c][s;X2][cH][cH]1",FALSE,FALSE,5,TRUE,1,TRUE,0,0
108,C4H2S,"[c]1[c][s;X2][cH][cH]1, [c]1[cH][s;X2][cH][c]1, [cH]1[c][s;X2][c][cH]1, [cH]1[c][s;X2][cH][c]1",FALSE,FALSE,5,FALSE,1,TRUE,0,0
109,NCO,N=C=O,FALSE,FALSE,3,TRUE,2,FALSE,0,2
118,(CH2)2SU,[CH2]S(=O)(=O)[CH2],FALSE,FALSE,5,FALSE,3,FALSE,0,2
119,CH2CHSU,[CH2]S(=O)(=O)[CH],FALSE,FALSE,5,FALSE,3,FALSE,0,2
